run_ts,processed_at,lat_ms,mode,freq_mhz,snr_sp_raw,rel_sp_float,snr_lp_raw,rel_lp_float,bw_correction,source_bw_hz,mode_bw_hz,path_km_sp,path_km_lp,engine,foF2,MUFD,noise_floor_dbw,tx_power_w,ant_tx,ant_rx,dropped_sp,dropped_lp
2025-09-11T00:00:00Z,2025-09-11T00:00:47Z,425,SSB,14.321,12,50,-20,0,0,,2400,14672.508027,25402.491973,ITURHFProp,,,,100,,,,
2025-09-11T00:00:00Z,2025-09-11T00:00:47Z,429,SSB,14.321,-2,0,-43,0,0,,2400,9361.845117,30713.154883,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:25Z,561,SSB,14.287,-14,0,0,0,0,,2400,8190.125124,31884.874876,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:01:00Z,2025-09-11T00:01:25Z,602,SSB,14.287,-5,0,-38,0,0,,2400,10296.416348,29778.583652,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:25Z,629,SSB,14.287,-24,0,-9,0,0,,2400,10861.387722,29213.612278,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:25Z,508,SSB,14.287,-14,0,-30,0,0,,2400,9308.57862,30766.42138,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:25Z,511,SSB,14.287,-20,0,-8,0,0,,2400,10416.68532,29658.31468,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:25Z,592,SSB,14.287,26,89,0,0,0,,2400,5522.321807,34552.678193,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:01:00Z,2025-09-11T00:01:25Z,648,SSB,14.287,-4,0,-44,0,0,,2400,9777.118781,30297.881219,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:25Z,544,SSB,14.287,-22,0,10,23,0,,2400,14792.717385,25282.282615,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:25Z,726,SSB,14.287,-12,0,0,0,0,,2400,9704.480139,30370.519861,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:25Z,575,SSB,14.287,-33,0,-6,0,0,,2400,12087.741964,27987.258036,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:26Z,213,SSB,14.287,39,99,0,0,0,,2400,2500.067975,37574.932025,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:01:00Z,2025-09-11T00:01:26Z,243,SSB,14.287,-14,0,0,0,0,,2400,7953.67075,32121.32925,ITURHFProp,,,,100,,,,lp_selective_blocked
