run_ts,processed_at,lat_ms,mode,freq_mhz,snr_sp_raw,rel_sp_float,snr_lp_raw,rel_lp_float,bw_correction,source_bw_hz,mode_bw_hz,path_km_sp,path_km_lp,engine,foF2,MUFD,noise_floor_dbw,tx_power_w,ant_tx,ant_rx,dropped_sp,dropped_lp
2025-09-10T17:30:00Z,2025-09-10T17:30:50Z,200,FT8,7.074,-100,0,0,0,0,50,50,3595.610356,36479.389644,ITURHFProp,,,,50,,,,lp_selective_blocked
2025-09-10T17:30:00Z,2025-09-10T17:30:50Z,223,FT8,7.074,-100,20,0,0,0,50,50,528.085756,39546.914244,ITURHFProp,,,,50,,,,lp_selective_blocked
2025-09-10T17:30:00Z,2025-09-10T17:30:54Z,62,FT4,7.047,20,100,0,0,0,90,90,0,40075,ITURHFProp,,,,50,,,,lp_selective_blocked
2025-09-10T17:30:00Z,2025-09-10T17:30:54Z,53,SSB,21.315,40,100,0,0,0,2400,2400,0,40075,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-10T17:30:00Z,2025-09-10T17:30:54Z,227,FT4,7.047,-100,5,0,0,0,90,90,372.825198,39702.174802,ITURHFProp,,,,50,,,,lp_selective_blocked
2025-09-10T17:30:00Z,2025-09-10T17:30:54Z,238,SSB,21.315,60,100,0,0,0,2400,2400,1894.433894,38180.566106,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-10T17:31:00Z,2025-09-10T17:31:01Z,33,SSB,7.093,40,100,0,0,0,2400,2400,0,40075,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-10T17:31:00Z,2025-09-10T17:31:01Z,215,SSB,7.093,54,100,0,0,0,2400,2400,672.569826,39402.430174,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-10T17:31:00Z,2025-09-10T17:31:02Z,247,FT8,21.0769,-28,20,0,0,0,50,50,8170.862299,31904.137701,ITURHFProp,,,,50,,,,lp_selective_blocked
2025-09-10T17:31:00Z,2025-09-10T17:31:02Z,256,FT8,21.0769,-100,0,0,0,0,50,50,1689.536545,38385.463455,ITURHFProp,,,,50,,,,lp_selective_blocked
2025-09-10T17:31:00Z,2025-09-10T17:31:03Z,214,SSB,7.123,37,100,0,0,0,2400,2400,1336.295474,38738.704526,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-10T17:31:00Z,2025-09-10T17:31:03Z,238,SSB,7.123,54,100,0,0,0,2400,2400,450.604531,39624.395469,ITURHFProp,,,,100,,,,lp_selective_blocked
